"mean";"median";"sd";"best";"worst";"score"
5.32;6.23;2.86;0.04;12.5;NA
3.95;3.99;2.59;0.04;12.5;NA
2.91;2.13;2.57;0.02;12.5;NA
2;1.22;2.44;0.01;12.5;NA
1.48;0.71;2.45;0.01;12.5;NA
1.18;0.49;2.38;0.01;12.5;NA
0.91;0.26;2.18;0;12.5;NA
0.94;0.22;2.63;0;12.5;NA
0.82;0.04;2.51;0;12.5;NA
0.86;0.04;2.66;0;12.5;NA
0.81;0.04;2.51;0;12.5;NA
0.78;0.02;2.52;0;12.5;NA
0.79;0.02;2.5;0;12.5;NA
0.79;0.01;2.54;0;12.5;NA
0.75;0;2.46;0;12.5;NA
0.81;0;2.64;0;12.5;NA
0.78;0;2.54;0;12.5;NA
0.81;0;2.64;0;12.5;NA
0.72;0;2.45;0;12.5;NA
0.72;0;2.49;0;12.5;NA
0.75;0;2.53;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.76;0;2.59;0;12.5;NA
0.74;0;2.47;0;12.5;NA
0.81;0;2.62;0;12.5;NA
0.75;0;2.52;0;12.5;NA
0.83;0;2.72;0;12.5;NA
0.81;0;2.68;0;12.5;NA
0.75;0;2.49;0;12.5;NA
0.74;0;2.5;0;12.5;NA
0.73;0;2.49;0;12.5;NA
0.73;0;2.48;0;12.5;NA
0.75;0;2.53;0;12.5;NA
0.77;0;2.61;0;12.5;NA
0.7;0;2.4;0;12.5;NA
0.71;0;2.32;0;12.5;NA
0.79;0;2.57;0;12.5;NA
0.74;0;2.48;0;12.5;NA
0.72;0;2.42;0;12.5;NA
0.78;0;2.61;0;12.5;NA
0.73;0;2.43;0;12.5;NA
0.67;0;2.26;0;12.5;NA
0.8;0;2.64;0;12.5;NA
0.77;0;2.59;0;12.5;NA
0.83;0;2.73;0;12.5;NA
0.67;0;2.36;0;12.5;NA
0.65;0;2.23;0;12.5;NA
0.71;0;2.36;0;12.5;NA
0.8;0;2.61;0;12.5;NA
0.68;0;2.33;0;12.5;NA
0.74;0;2.46;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.78;0;2.61;0;12.5;NA
0.81;0;2.64;0;12.5;NA
0.74;0;2.44;0;12.5;NA
0.76;0;2.47;0;12.5;NA
0.77;0;2.54;0;12.5;NA
0.76;0;2.62;0;12.5;NA
0.74;0;2.44;0;12.5;NA
0.76;0;2.53;0;12.5;NA
0.78;0;2.54;0;12.5;NA
0.76;0;2.57;0;12.5;NA
0.73;0;2.39;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.72;0;2.42;0;12.5;NA
0.8;0;2.61;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.66;0;2.28;0;12.5;NA
0.75;0;2.46;0;12.5;NA
0.78;0;2.58;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.69;0;2.33;0;12.5;NA
0.73;0;2.48;0;12.5;NA
0.81;0;2.67;0;12.5;NA
0.76;0;2.53;0;12.5;NA
0.68;0;2.37;0;12.5;NA
0.77;0;2.57;0;12.5;NA
0.65;0;2.18;0;12.5;NA
0.79;0;2.58;0;12.5;NA
0.74;0;2.49;0;12.5;NA
0.71;0;2.45;0;12.5;NA
0.81;0;2.64;0;12.5;NA
0.68;0;2.29;0;12.5;NA
0.72;0;2.43;0;12.5;NA
0.72;0;2.41;0;12.5;NA
0.66;0;2.26;0;12.5;NA
0.68;0;2.38;0;12.5;NA
0.72;0;2.49;0;12.5;NA
0.72;0;2.42;0;12.5;NA
0.82;0;2.69;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.82;0;2.7;0;12.5;NA
0.71;0;2.38;0;12.5;NA
0.67;0;2.28;0;12.5;NA
0.74;0;2.53;0;12.5;NA
0.74;0;2.47;0;12.5;NA
0.67;0;2.35;0;12.5;NA
0.77;0;2.56;0;12.5;NA
0.8;0;2.6;0;12.5;NA
0.81;0;2.68;0;12.5;NA
